Chappie,1/3/2016,3,Action,Neill Blomkamp,http://www.imdb.com/title/tt1823672/
Line of Sight,14/03/2016,4,Documentary,Benny Zenga,http://www.imdb.com/title/tt2286630/
Danny Collins,18/03/2016,3,Drama,Dan Fogelman,http://www.imdb.com/title/tt1772288/
Captain America: The Winter Soldier,18/03/2016,3,Action,"Anthony Russo, Joe Russo",http://www.imdb.com/title/tt1843866/
Pantani: The Accidental Death of a Cyclist,20/03/2016,3,Documentary,James Erskine,http://www.imdb.com/title/tt2966760/
180° South,24/03/2016,3,Documentary,Chris Malloy,http://www.imdb.com/title/tt1407927/
Janis: Little Girl Blue,25/03/2016,3,Documentary,Amy Berg,http://www.imdb.com/title/tt3707114/
Mr. Holmes,26/03/2016,3,Drama,Bill Condon,http://www.imdb.com/title/tt3168230/
Spectre,27/03/2016,3,Action,Sam Mendes,http://www.imdb.com/title/tt2379713/
The Grand Budapest Hotel,28/03/2016,4,Comedy,Wes Anderson,http://www.imdb.com/title/tt2278388/
Nieuwe helden - in het hart van de tour, 01/04/2016,4,Documentary, Dirk Jan Roeleven,http://www.imdb.com/title/tt3726324/
Deep Web,2/4/2016,2,Documentary,Alex Winter, http://www.imdb.com/title/tt3312868/
Brasilia: City of the Future,6/4/2016,3,Short,Benjamin Dickinson,http://www.imdb.com/title/tt4064910/
Are You Here,7/4/2016,1,Comedy,Matthew Weiner,http://www.imdb.com/title/tt1545754/
Deadpool,8/4/2016,4,Action,Tim Miller,http://www.imdb.com/title/tt1431045/
Casuals: The Story of the Legendary Terrace Fashion,14/04/2016,2,Documentary,Mick Kelly,http://www.imdb.com/title/tt2120743/
Plastic,15/04/2016,2,Action,Julian Gilbey,http://www.imdb.com/title/tt2556874/
Being Evel,16/04/2016,3,Documentary,Daniel Junge,http://www.imdb.com/title/tt4076756/
The Cobbler,20/04/2016,1,Comedy,Tom McCarthy,http://www.imdb.com/title/tt3203616/
Bridge of Spies,23/04/2016,4,Drama,Steven Spielberg,http://www.imdb.com/title/tt3682448/
We Are Twisted Fucking Sister!,28/04/2016,3,Documentary,Andrew Horn,http://www.imdb.com/title/tt3538328/
Special Correspondents,29/04/16,2,Comedy,Ricky Gervais,http://www.imdb.com/title/tt4181052/
Absolutely Anything,3/5/2016,2,Comedy,Terry Jones,http://www.imdb.com/title/tt1727770/
The Hooligan Factory,5/5/2016,2,Comedy,Nick Nevern,http://www.imdb.com/title/tt2360446/
Tom Petty and the Heartbreakers: Runnin' Down a Dream,7/5/2016,3,Documentary,Peter Bogdanovich,http://www.imdb.com/title/tt0965382/
The Revenant,9/5/2016,5,Adventure,Alejandro G. Iñárritu,http://www.imdb.com/title/tt1663202/
Valley Uprising,17/05/2016,4,Documentary,"Peter Mortimer, Nick Rosen",http://www.imdb.com/title/tt3784160/
We Are Your Friends,17/05/2016,2,Drama,Max Joseph, http://www.imdb.com/title/tt3787590/
Breakin L.A.,18/05/2016,3,Documentary,"Boris Castro, Karla Lemus",http://www.imdb.com/title/tt2670482/
Inspired to Ride,20/05/2016,4,Documentary,Mike Dion,http://www.imdb.com/title/tt4340740/
John Wick,21/05/2016,3,Action,"Chad Stahelski, David Leitch",http://www.imdb.com/title/tt2911666/
London Has Fallen,21/05/2016,2,Action,Babak Najafi,http://www.imdb.com/title/tt3300542/
"Ladies and Gentlemen, the Fabulous Stains",25/05/2016,2,Drama,Lou Adler,http://www.imdb.com/title/tt0082639/
London Edinburgh London,25/05/2016,3,Documentary,Will Stewart,http://www.imdb.com/title/tt5692322/
Jupiter Ascending,26/05/2016,3,Sci-Fi,The Wachowskis,http://www.imdb.com/title/tt1617661/
Eddie the Eagle,27/05/2016,3,Biography,Dexter Fletcher,http://www.imdb.com/title/tt1083452/
Hot Tub Time Machine 2,28/05/2016,2,Comedy,Steve Pink,http://www.imdb.com/title/tt2637294/
Une famille à louer,30/05/2016,2,Comedy, Jean-Pierre Améris,http://www.imdb.com/title/tt3811986/
99 Homes,1/6/2016,3,Drama,Ramin Bahrani,http://www.imdb.com/title/tt2891174/
The World's End,1/6/2016,3,Comedy,Edgar Wright,http://www.imdb.com/title/tt1213663/
Fresh Dressed,2/6/2016,2,Documentary,Sacha Jenkins,http://www.imdb.com/title/tt4209900/
The Company You Keep,3/6/2016,3,Drama,Robert Redford,http://www.imdb.com/title/tt1381404/
No Escape,7/6/2016,2,Action,John Erick Dowdle,http://www.imdb.com/title/tt1781922/
North v South,12/6/2016,2,Drama,Steven Nesbit,http://www.imdb.com/title/tt4050596/
My Friend Rockefeller,3/7/2016,1,Documentary,Steffi Kammerer,http://www.imdb.com/title/tt4465220/
Hot Rod, 05/07/2016,2,Comedy,Akiva Schaffer,http://www.imdb.com/title/tt0787475/
Boogie Nights,8/7/2016,3,Drama,Paul Thomas Anderson,http://www.imdb.com/title/tt0118749/
Race Across America,10/7/2016,2,Documentary,Leo DeHaan,http://www.imdb.com/title/tt3847766/
Bicycle,14/07/2016,3,Documentary,Michael B. Clifford,http://www.imdb.com/title/tt3779782/
A Walk in the Woods,14/07/2016,3,Biography,Ken Kwapis,http://www.imdb.com/title/tt1178665/
Jay and Silent Bob Strike Back,15/07/2016,2,Comedy,Kevin Smith, http://www.imdb.com/title/tt0261392/
Paranoia,17/07/2016,2,Thriller, Robert Luketic,http://www.imdb.com/title/tt1413495/
Mississippi Grind,21/07/2016,3,Drama,"Anna Boden, Ryan Fleck",http://www.imdb.com/title/tt2349144/
The Seven Five,24/07/2016,3,Documentary,Tiller Russell,http://www.imdb.com/title/tt4136056/
Hard Eight,26/07/2016,3,Crime,Paul Thomas Anderson,http://www.imdb.com/title/tt0119256/
X-Men: Days of Future Past,28/07/2016,3,Action, Bryan Singer,http://www.imdb.com/title/tt1877832/
The Last Witch Hunter,30/07/2016,3,Action,Breck Eisner,http://www.imdb.com/title/tt1618442/
Brand: A Second Coming,30/07/2016,2,Documentary,Ondi Timoner,http://www.imdb.com/title/tt3798628/
Sicario,31/07/2016,3,Action,Denis Villeneuve,http://gb.imdb.com/title/tt3397884/
Stranger Things,1/8/2016,4,Drama,"Matt Duffer, Ross Duffer",http://www.imdb.com/title/tt4574334/
The Kingdom of Dreams and Madness,2/8/2016,4,Documentary,Mami Sunada,http://www.imdb.com/title/tt3204392/
Whiskey Tango Foxtrot,8/8/2016,3,Biography,"Glenn Ficarra, John Requa",http://gb.imdb.com/title/tt3553442/
Batman v Superman: Dawn of Justice,8/8/2016,2,Action,Zack Snyder,http://gb.imdb.com/title/tt2975590/
Everybody Wants Some!!,8/8/2016,2,Comedy,Richard Linklater,http://www.imdb.com/title/tt2937696/
Sing Street,21/08/2016,4,Comedy,John Carney,http://gb.imdb.com/title/tt3544112/
Burnt,21/08/2016,3,Drama,John Wells,http://www.imdb.com/title/tt2503944/
Rounders,23/08/2016,2,Drama,John Dahl,http://www.imdb.com/title/tt0128442/
Creed,24/08/2016,3,Drama,Ryan Coogler,http://www.imdb.com/title/tt3076658/
I'll Sleep When I'm Dead,25/08/2016,3,Documentary,Justin Krook,http://www.imdb.com/title/tt4679136/
Convenience,26/08/2016,2,Comedy,Keri Collins,http://www.imdb.com/title/tt2263210/
Veer!,28/08/2016,3,Comedy,Patrick Barry,http://www.imdb.com/title/tt1748280/
Jadoo,29/08/2016,3,Comedy,Amit Gupta,http://www.imdb.com/title/tt2180423/
Grind,9/9/2016,1,Adventure,Casey La Scala,http://www.imdb.com/title/tt0338077/
Gods and Generals,10/9/2016,2,Drama,Ronald F. Maxwell,http://gb.imdb.com/title/tt0279111/
Room,10/9/2016,3,Drama,Lenny Abrahamson,http://www.imdb.com/title/tt3170832/
Consumed,15/09/2016,2,Drama,Daryl Wein,http://www.imdb.com/title/tt3760966/
Sample This, 16/09/2016,3,Documentary,Dan Forrer,http://www.imdb.com/title/tt2407418/
Into The Wild,17/09/2016,4,Biography,Sean Penn,http://www.imdb.com/title/tt0758758/
The Big Short, 22/09/2016,4,Drama,Adam McKay,http://www.imdb.com/title/tt1596363/
Blow Out,23/09/2016,3,Thriller,Brian De Palma,http://www.imdb.com/title/tt0082085/
Body Double,23/09/2016,2,Thriller,Brian De Palma,http://www.imdb.com/title/tt0086984/
The Crumbles,25/09/2016,3,Drama, Akira Boch ,http://www.imdb.com/title/tt2073672/
Tank Girl,30/09/2016,2,Action,Rachel Talalay,http://www.imdb.com/title/tt0114614/
Ashby,30/09/2016,2,Drama,Tony McNamara,http://www.imdb.com/title/tt3774466/
Trumbo,8/10/2016,4,Biography,Jay Roach,http://www.imdb.com/title/tt3203606/
Youth,8/10/2016,3,Drama,Paolo Sorrentino,http://www.imdb.com/title/tt3312830/
The Siege of Jadotville,9/10/2016,3,Drama,Richie Smyth,http://www.imdb.com/title/tt3922798/
Violet and Daisy,9/10/2016,3,Action,Geoffrey Fletcher,http://www.imdb.com/title/tt1634136/
Mascots,14/10/2016,3,Comedy,Christopher Guest,http://www.imdb.com/title/tt4936176/
Rob the Mob,15/10/2016,2,Crime,Raymond De Felitta,http://www.imdb.com/title/tt2481480/
Scoop,15/10/2016,2,Comedy,Woody Allen,http://www.imdb.com/title/tt0457513/
Source Code,16/10/2016,3,Sci-Fi,Duncan Jones,http://www.imdb.com/title/tt0945513/
Man vs Snake: The Long and Twisted Tale of Nibbler,20/10/2016,2,Documentary,"Tim Kinzy, Andrew Seklir",http://www.imdb.com/title/tt2933794/
Black Mirror,24/10/2016,4,Sci-Fi,Charlie Brooker,http://www.imdb.com/title/tt2085059/
Filth,2/11/2016,3,Comedy,Jon S. Baird,http://www.imdb.com/title/tt1450321/
It Follows,4/11/2016,3,Horror,David Robert Mitchell,http://www.imdb.com/title/tt3235888/
They Live,5/11/2016,3,Sci-Fi,John Carpenter,http://www.imdb.com/title/tt0096256/
High Rise,30/11/2016,3,Drama,Ben Wheatley,http://www.imdb.com/title/tt0462335/
My Scientology Movie,7/12/2016,3,Documentary,John Dower,http://www.imdb.com/title/tt5111874/
Startup,8/12/2016,3,Crime,Ben Ketai,http://www.imdb.com/title/tt5028002/
The Hateful Eight,9/12/2016,4,Drama,Quentin Tarantino,http://www.imdb.com/title/tt3460252/
Rogue One: A Star Wars Story,15/12/2016,4,Sci-Fi,Gareth Edwards,http://www.imdb.com/title/tt3748528/
Designated Survivor,16/12/2016,3,Drama,David Guggenheim,http://www.imdb.com/title/tt5296406/
The OA, 17/12/2016,3,Drama,"Zal Batmanglij, Brit Marling",http://www.imdb.com/title/tt4635282/
It's a Wonderful Life,25/12/2016,4,Drama,Frank Capra,http://www.imdb.com/title/tt0038650/
When Marnie Was There,26/12/2016,3,Animation,Hiromasa Yonebayashi,http://www.imdb.com/title/tt3398268/
Orange Sunshine,28/12/2016,2,Documentary,William A. Kirkley,http://www.imdb.com/title/tt5119260/
Minimalism: A Documentary About the Important Things,28/12/2016,3,Documentary,Matt D'Avella,http://www.imdb.com/title/tt3810760/
The Art of the Steal,28/12/2016,2,Drama,Jonathan Sobol,http://www.imdb.com/title/tt2172985/
Extremely Loud and Incredibly Close,28/12/2016,3,Drama,Stephen Daldry,http://www.imdb.com/title/tt0477302/
Our Kind of Traitor,30/12/2016,2,Crime,Susanna White,http://www.imdb.com/title/tt1995390
The Beatles: Eight Days a Week - The Touring Years,30/12/2016,3,Documentary,Ron Howard,http://www.imdb.com/title/tt2531318/
Flash of Genius,1/1/2015,3,Biography,Marc Abraham,http://www.imdb.com/title/tt1054588/ 
Barry Lyndon,2/1/2015,5,Drama,Stanley Kubrick,http://www.imdb.com/title/tt0072684/
Boardwalk Empire Season 3,2/1/2015,4,Drama,Various,http://www.imdb.com/title/tt0979432/
The Inbetweeners 2,3/1/2015,2,Comedy,"Damon Beesley,Iain Morris",http://www.imdb.com/title/tt3097204/
Trap for Cinderella,9/1/2015,2,Crime,Iain Softley,http://www.imdb.com/title/tt1766175/
I Knew It Was You: Rediscovering John Cazale,21/01/2015,3,Documentary,Richard Shepard,http://www.imdb.com/title/tt1352717/
The Conversation,22/01/2015,3,Drama,Francis Ford Coppola,http://www.imdb.com/title/tt0071360/
Lucy,24/01/2015,2,Action,Luc Besson,http://www.imdb.com/title/tt2872732/
Donnie Brasco,25/01/2015,3,Biography,Mike Newell,http://www.imdb.com/title/tt0119008/
